request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000.0,affordable_now,full_payment,2025-08-03:15656000.0,2025-08-03,none,"Pay IDR 15,656,000 today. This leaves at least IDR 24,768,300 available over the next 90 days."
request_27,6670.0,affordable_now,full_payment,2026-07-05:6670.0,2026-07-05,none,"Pay ZAR 6,670 today. This leaves at least ZAR 20,500 available over the next 90 days."
request_28,263.9,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 August 2024. None of the available options keeps the EUR 1,100 minimum protected."
request_29,20983.32,not_affordable,not_recommended,none,,none,"Do not make this payment by 23 November 2025. None of the available options keeps the ZAR 28,300 minimum protected."
request_30,775.2,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,"Use 3 installments of USD 268.74, starting 2026-04-06. This leaves at least USD 900 available."
request_31,2519115.8,affordable_later,wait,2024-11-15:18164000.0,2024-11-15,none,"Pay IDR 18,164,000 in full on 2024-11-15. Paying earlier would take the balance below the IDR 16,588,900 minimum."
request_32,7687.93,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 April 2025. None of the available options keeps the ZAR 35,700 minimum protected."
request_33,31511.76,affordable_later,wait,2026-02-15:118000.0,2026-02-15,none,"Pay INR 118,000 in full on 2026-02-15. Paying earlier would take the balance below the INR 102,100 minimum."
request_34,129400.0,affordable_now,full_payment,2024-12-04:129400.0,2024-12-04,none,"Pay INR 129,400 today. This leaves at least INR 138,500 available over the next 90 days."
request_35,17110.99,affordable_later,wait,2026-01-15:212000.0,2026-01-15,none,"Pay INR 212,000 in full on 2026-01-15. Paying earlier would take the balance below the INR 106,400 minimum."
request_36,695.88,affordable_later,wait,2026-08-15:3954.0,2026-08-15,none,"Pay USD 3,954 in full on 2026-08-15. Paying earlier would take the balance below the USD 2,400 minimum."
request_37,2209979.3,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 May 2024. None of the available options keeps the IDR 17,056,200 minimum protected."
request_38,193.45,affordable_later,wait,2025-09-15:971.3,2025-09-15,none,Pay EUR 971.30 in full on 2025-09-15. Paying earlier would take the balance below the EUR 400 minimum.
request_39,72355.94,affordable_later,wait,2026-05-15:208600.0,2026-05-15,none,"Pay INR 208,600 in full on 2026-05-15. Paying earlier would take the balance below the INR 213,400 minimum."
request_40,295.67,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 August 2024. None of the available options keeps the EUR 1,500 minimum protected."
request_41,11238706.2,affordable_later,wait,2025-12-15:38760000.0,2025-12-15,none,"Pay IDR 38,760,000 in full on 2025-12-15. Paying earlier would take the balance below the IDR 25,366,600 minimum."
request_42,52100.0,affordable_now,full_payment,2026-01-05:52100.0,2026-01-05,none,"Pay INR 52,100 today. This leaves at least INR 113,100 available over the next 90 days."
request_43,8066547.9,affordable_later,wait,2024-11-15:43339000.0,2024-11-15,none,"Pay IDR 43,339,000 in full on 2024-11-15. Paying earlier would take the balance below the IDR 21,398,000 minimum."
request_44,27739.77,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 April 2025. None of the available options keeps the INR 82,900 minimum protected."
request_45,3723648.9,affordable_later,wait,2026-09-15:21983000.0,2026-09-15,none,"Pay IDR 21,983,000 in full on 2026-09-15. Paying earlier would take the balance below the IDR 11,149,800 minimum."
request_46,33118.29,affordable_with_plan,installments,2024-12-03:25714.0|2024-12-31:25714.0,2025-01-15,stop:event_4223|stop:event_4224,"Use 2 installments of INR 25714.0, starting 2024-12-03. This leaves at least INR 84,000 available."
