request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_01,22011.91,affordable_with_plan,full_payment,2024-03-03:25256.0,2024-05-15,reduce_to:event_97:489.5|stop:event_31,"Reduce event_97 to 489.5 and stop event_31, then pay ZAR 25,256 today. This leaves at least ZAR 18,000 available."
request_02,19921034.0,affordable_with_plan,installments,2025-08-08:15952906.67|2025-09-07:15952906.67|2025-10-07:15952906.67,2025-08-15,none,"Use 3 installments of IDR 15952906.67, starting 2025-08-08. This leaves at least IDR 29,158,400 available."
request_03,1284462.2,affordable_later,wait,2019-10-28:5491000.0,2019-10-28,none,"Pay IDR 5,491,000 in full on 2019-10-28. Paying earlier would take the balance below the IDR 2,668,700 minimum."
request_04,9567344.9,affordable_later,wait,2024-07-15:12693000.0,2024-07-15,none,"Pay IDR 12,693,000 in full on 2024-07-15. Paying earlier would take the balance below the IDR 30,686,600 minimum."
request_05,15488.0,affordable_now,full_payment,2025-11-06:15488.0,2025-11-06,none,"Pay ZAR 15,488 today. This leaves at least ZAR 13,100 available over the next 90 days."
request_06,620.4,affordable_now,full_payment,2026-01-03:620.4,2026-01-03,none,Pay EUR 620.40 today. This leaves at least EUR 800 available over the next 90 days.
request_07,93989.33,affordable_with_plan,installments,2024-09-12:68432.0|2024-10-10:68432.0|2024-11-07:68432.0,2024-10-23,none,"Use 3 installments of INR 68432.0, starting 2024-09-12. This leaves at least INR 93,000 available."
request_08,302.48,not_affordable,not_recommended,none,,none,Do not make this payment by 15 April 2025. None of the available options keeps the EUR 800 minimum protected.
request_09,166.61,affordable_now,full_payment,2026-07-04:166.61,2026-07-04,none,Pay EUR 166.61 today. This leaves at least EUR 600 available over the next 90 days.
request_10,81697.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 10 February 2025. None of the available options keeps the INR 225,400 minimum protected."
request_11,12961918.2,affordable_later,wait,2025-05-24:13110000.0,2025-05-24,none,"Pay IDR 13,110,000 in full on 2025-05-24. Paying earlier would take the balance below the IDR 34,140,600 minimum."
request_12,65164.0,affordable_with_plan,installments,2026-04-19:22590.19|2026-05-20:22590.19|2026-06-20:22590.19,2026-04-05,none,"Use 3 installments of ZAR 22590.19, starting 2026-04-19. This leaves at least ZAR 43,200 available."
request_13,253.15,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 May 2024. None of the available options keeps the EUR 1,300 minimum protected."
request_14,560.62,not_affordable,not_recommended,none,,none,"Do not make this payment by 04 October 2025. None of the available options keeps the EUR 2,200 minimum protected."
request_15,38.16,not_affordable,not_recommended,none,,none,"Do not make this payment by 01 February 2026. None of the available options keeps the EUR 1,200 minimum protected."
request_16,122500.0,affordable_now,full_payment,2023-08-12:122500.0,2023-08-12,none,"Pay INR 122,500 today. This leaves at least INR 122,400 available over the next 90 days."
request_17,240478.67,affordable_with_plan,installments,2026-03-01:95194.67|2026-03-31:95194.67|2026-04-30:95194.67,2026-04-15,none,"Use 3 installments of INR 95194.67, starting 2026-03-01. This leaves at least INR 166,100 available."
request_18,738.54,affordable_later,wait,2026-08-15:3246.1,2026-08-15,none,"Pay EUR 3,246.10 in full on 2026-08-15. Paying earlier would take the balance below the EUR 1,400 minimum."
request_19,39660.0,affordable_with_plan,installments,2024-09-04:20623.2|2024-10-02:20623.2,2024-09-04,none,"Use 2 installments of INR 20623.2, starting 2024-09-04. This leaves at least INR 92,800 available."
request_20,13594.79,not_affordable,not_recommended,none,,none,"Do not make this payment by 22 February 2026. None of the available options keeps the INR 64,500 minimum protected."
request_21,1574.4,affordable_now,full_payment,2026-04-03:1574.4,2026-04-03,none,"Pay USD 1,574.40 today. This leaves at least USD 1,800 available over the next 90 days."
request_22,468.83,affordable_with_plan,installments,2024-12-08:253.59|2025-01-05:253.59|2025-02-02:253.59,2025-02-15,stop:event_1892|stop:event_1890,"Use 3 installments of EUR 253.59, starting 2024-12-08. This leaves at least EUR 500 available."
request_23,9833.45,affordable_later,wait,2025-07-15:38016.0,2025-07-15,none,"Pay ZAR 38,016 in full on 2025-07-15. Paying earlier would take the balance below the ZAR 27,000 minimum."
request_24,17878.08,not_affordable,not_recommended,none,,none,"Do not make this payment by 08 February 2026. None of the available options keeps the INR 51,000 minimum protected."
request_25,4271394.7,not_affordable,not_recommended,none,,none,"Do not make this payment by 17 April 2024. None of the available options keeps the IDR 23,379,100 minimum protected."
